Month	Nb of distinct IPs	Nb of downloads
Jan/2018	0	0
Feb/2018	0	0
Mar/2018	9	11
Apr/2018	38	43
May/2018	93	152
Jun/2018	103	161
Jul/2018	77	111
Aug/2018	63	93
Sep/2018	119	200
Oct/2018	120	188
Nov/2018	143	253
Dec/2018	113	166
Jan/2019	181	269
Feb/2019	189	322
Mar/2019	329	455
Apr/2019	337	493
May/2019	216	371
Jun/2019	287	438
Jul/2019	296	584
Aug/2019	184	330
Sep/2019	171	349
Oct/2019	230	377
Nov/2019	239	394
Dec/2019	129	215
Jan/2020	170	287
Feb/2020	290	483
Mar/2020	237	434
Apr/2020	243	478
May/2020	352	643
Jun/2020	397	701
Jul/2020	342	499
Aug/2020	361	639
Sep/2020	286	577
Oct/2020	459	711
Nov/2020	312	600
Dec/2020	261	446
Jan/2021	326	554
Feb/2021	484	979
Mar/2021	379	712
Apr/2021	238	492
May/2021	309	497
Jun/2021	223	520
Jul/2021	275	606
Aug/2021	235	363
Sep/2021	192	358
Oct/2021	276	438
Nov/2021	299	469
Dec/2021	265	372
Jan/2022	265	366
Feb/2022	219	322
Mar/2022	249	360
Apr/2022	195	256
May/2022	250	371
Jun/2022	307	427
Jul/2022	255	389
Aug/2022	218	304
Sep/2022	231	303
Oct/2022	201	298
Nov/2022	283	472
Dec/2022	222	316
Jan/2023	291	507
Feb/2023	329	531
Mar/2023	293	404
Apr/2023	319	456
May/2023	370	493
Jun/2023	443	662
Jul/2023	389	614
Aug/2023	359	548
Sep/2023	293	528
Oct/2023	323	541
